method,slippage_mean_bps,slippage_std_bps,is_mean_bps,is_std_bps
Immediate,-13.837821408228994,386.78790624328377,40.80000000000013,7.105427357601002e-15
TWAP,20.025520535977833,26.842439563241243,58.632692751140624,413.72824577356243
Almgren-Chriss,15.25071916022741,38.78943437451531,55.152918112778686,381.2719373829486
VWAP-tracking,20.331999436967504,0.0746241381589662,59.31449778306763,402.21918969291477
Forecast-greedy,14.766678716288327,36.545555312812134,53.2356895006358,420.4808592489472
Conformal-gated (kappa=0.5),19.766651021019936,6.839496837422387,58.735133764099565,402.78156166565964
Conformal-gated (kappa=1.0),20.23298954327276,0.6400612684263819,59.2127003306603,402.32920773768376
