kappa,slippage_mean_bps,slippage_std_bps
0.0,14.713650362139976,36.43650262238513
0.05,15.107881002407936,34.216495641490866
0.35384615384615387,19.341904777650047,9.535890625037217
0.6576923076923078,19.90731912885201,2.250649570428903
0.9615384615384617,20.209243221524513,0.712123185455042
1.2653846153846156,20.27183220451999,0.4981205110262404
1.5692307692307694,20.283733313019614,0.40433647453367577
1.8730769230769233,20.283733313019614,0.40433647453367577
2.176923076923077,20.28965137012321,0.3681707451147009
2.480769230769231,20.28965137012321,0.3681707451147009
2.7846153846153845,20.28965137012321,0.3681707451147009
3.0884615384615386,20.29534462527925,0.36156181519555164
3.3923076923076927,20.29534462527925,0.36156181519555164
3.6961538461538463,20.290466930583182,0.35379956027716825
4.0,20.290466930583182,0.35379956027716825
